2025-08-27;2025-08-27;[1] PING;09:15:32.500;[1/1] PONG (2)
2025-08-27;;;09:15:34.946;[2] keepalive
2025-08-27;2025-08-27;[2] PING;09:15:35.462;[5/2] PONG (2)
2025-08-27;;;09:15:39.948;[8] keepalive
2025-08-27;2025-08-27;[4] PING;09:15:40.066;[10/4] PONG (2)
2025-08-27;2025-08-27;[5] PING;09:15:43.086;[13/5] PONG (2)
2025-08-27;2025-08-27;[6] PING;09:15:43.881;[14/6] PONG (2)
2025-08-27;;;09:15:44.950;[16] keepalive
2025-08-27;2025-08-27;[8] PING;09:15:47.309;[19/8] PONG (2)
2025-08-27;2025-08-27;[9] PING;09:15:48.069;[20/9] PONG (2)
2025-08-27;;;09:15:49.953;[22] keepalive
2025-08-27;2025-08-27;[10] PING;09:15:50.972;[25/10] PONG (2)
2025-08-27;2025-08-27;[11] PING;09:15:51.642;[26/11] PONG (2)
2025-08-27;2025-08-27;[12] PING;09:15:53.176;[30/12] PONG (2)
2025-08-27;;;09:15:54.954;[31] keepalive
2025-08-27;2025-08-27;[14] PING;09:15:57.628;[35/14] PONG (2)
2025-08-27;2025-08-27;[15] PING;09:15:58.082;[36/15] PONG (2)
2025-08-27;2025-08-27;[16] PING;09:15:59.394;[37/16] PONG (2)
2025-08-27;;;09:15:59.954;[38] keepalive
2025-08-27;09:15:37.394;[3] PING;09:16:00.081;(таймаут)
2025-08-27;09:15:45.067;[7] PING;09:16:00.081;(таймаут)
2025-08-27;2025-08-27;[17] PING;09:16:03.039;[41/17] PONG (2)
2025-08-27;2025-08-27;[18] PING;09:16:04.014;[43/18] PONG (2)
2025-08-27;2025-08-27;[19] PING;09:16:04.308;[44/19] PONG (2)
2025-08-27;;;09:16:04.956;[45] keepalive
2025-08-27;2025-08-27;[20] PING;09:16:05.966;[48/20] PONG (2)
2025-08-27;2025-08-27;[21] PING;09:16:09.411;[50/21] PONG (2)
2025-08-27;;;09:16:09.957;[51] keepalive
2025-08-27;2025-08-27;[23] PING;09:16:13.339;[54/23] PONG (2)
2025-08-27;2025-08-27;[24] PING;09:16:14.188;[56/24] PONG (2)
2025-08-27;;;09:16:14.959;[58] keepalive
2025-08-27;09:15:54.856;[13] PING;09:16:15.082;(таймаут)
2025-08-27;2025-08-27;[25] PING;09:16:16.678;[60/25] PONG (2)
2025-08-27;2025-08-27;[26] PING;09:16:18.874;[62/26] PONG (2)
2025-08-27;;;09:16:19.960;[64] keepalive
2025-08-27;2025-08-27;[27] PING;09:16:20.341;[66/27] PONG (2)
2025-08-27;2025-08-27;[28] PING;09:16:22.715;[70/28] PONG (2)
2025-08-27;2025-08-27;[29] PING;09:16:23.018;[71/29] PONG (2)
2025-08-27;;;09:16:24.962;[74] keepalive
2025-08-27;2025-08-27;[30] PING;09:16:25.616;[76/30] PONG (2)
2025-08-27;2025-08-27;[31] PING;09:16:28.563;[78/31] PONG (2)
2025-08-27;2025-08-27;[32] PING;09:16:29.102;[80/32] PONG (2)
2025-08-27;;;09:16:29.964;[81] keepalive
2025-08-27;09:16:10.705;[22] PING;09:16:30.081;(таймаут)
2025-08-27;2025-08-27;[33] PING;09:16:30.946;[83/33] PONG (2)
2025-08-27;;;09:16:34.966;[86] keepalive
2025-08-27;2025-08-27;[35] PING;09:16:35.492;[88/35] PONG (2)
2025-08-27;2025-08-27;[36] PING;09:16:38.433;[90/36] PONG (2)
2025-08-27;;;09:16:39.968;[93] keepalive
2025-08-27;2025-08-27;[38] PING;09:16:43.345;[97/38] PONG (2)
2025-08-27;2025-08-27;[39] PING;09:16:44.222;[98/39] PONG (2)
2025-08-27;;;09:16:44.968;[99] keepalive
2025-08-27;2025-08-27;[40] PING;09:16:45.274;[101/40] PONG (2)
2025-08-27;2025-08-27;[41] PING;09:16:47.533;[104/41] PONG (2)
2025-08-27;2025-08-27;[42] PING;09:16:48.377;[106/42] PONG (2)
2025-08-27;;;09:16:49.972;[108] keepalive
2025-08-27;2025-08-27;[45] PING;09:16:51.635;[111/45] PONG (2)
2025-08-27;2025-08-27;[46] PING;09:16:53.217;[112/46] PONG (2)
2025-08-27;2025-08-27;[47] PING;09:16:54.792;[115/47] PONG (2)
2025-08-27;;;09:16:54.973;[116] keepalive
2025-08-27;2025-08-27;[48] PING;09:16:55.510;[118/48] PONG (2)
2025-08-27;2025-08-27;[49] PING;09:16:57.190;[119/49] PONG (2)
2025-08-27;;;09:16:59.974;[122] keepalive
2025-08-27;09:16:32.827;[34] PING;09:17:00.082;(таймаут)
2025-08-27;09:16:40.815;[37] PING;09:17:00.082;(таймаут)
2025-08-27;2025-08-27;[51] PING;09:17:00.679;[126/51] PONG (2)
2025-08-27;2025-08-27;[52] PING;09:17:01.741;[128/52] PONG (2)
2025-08-27;2025-08-27;[53] PING;09:17:02.083;[129/53] PONG (2)
2025-08-27;;;09:17:04.976;[133] keepalive
2025-08-27;2025-08-27;[54] PING;09:17:05.173;[135/54] PONG (2)
2025-08-27;2025-08-27;[55] PING;09:17:05.812;[136/55] PONG (2)
2025-08-27;2025-08-27;[56] PING;09:17:08.822;[138/56] PONG (2)
2025-08-27;;;09:17:09.979;[139] keepalive
2025-08-27;2025-08-27;[57] PING;09:17:10.238;[141/57] PONG (2)
2025-08-27;2025-08-27;[58] PING;09:17:10.409;[142/58] PONG (2)
2025-08-27;2025-08-27;[60] PING;09:17:12.822;[144/60] PONG (2)
2025-08-27;;;09:17:14.980;[146] keepalive
2025-08-27;09:16:48.251;[43] PING;09:17:15.084;(таймаут)
2025-08-27;09:16:50.131;[44] PING;09:17:15.084;(таймаут)
2025-08-27;09:16:58.472;[50] PING;09:17:15.084;(таймаут)
2025-08-27;2025-08-27;[61] PING;09:17:15.683;[149/61] PONG (2)
2025-08-27;2025-08-27;[62] PING;09:17:16.980;[150/62] PONG (2)
2025-08-27;2025-08-27;[64] PING;09:17:19.142;[152/64] PONG (2)
2025-08-27;;;09:17:19.981;[154] keepalive
2025-08-27;2025-08-27;[65] PING;09:17:22.156;[156/65] PONG (2)
2025-08-27;2025-08-27;[66] PING;09:17:22.870;[159/66] PONG (2)
2025-08-27;2025-08-27;[67] PING;09:17:24.203;[160/67] PONG (2)
2025-08-27;;;09:17:24.983;[161] keepalive
2025-08-27;2025-08-27;[68] PING;09:17:26.453;[164/68] PONG (2)
2025-08-27;2025-08-27;[69] PING;09:17:27.496;[166/69] PONG (2)
2025-08-27;2025-08-27;[70] PING;09:17:28.084;[167/70] PONG (2)
2025-08-27;2025-08-27;[71] PING;09:17:28.915;[168/71] PONG (2)
2025-08-27;;;09:17:29.984;[170] keepalive
2025-08-27;09:17:12.096;[59] PING;09:17:30.085;(таймаут)
2025-08-27;2025-08-27;[72] PING;09:17:31.088;[172/72] PONG (2)
2025-08-27;2025-08-27;[73] PING;09:17:32.912;[175/73] PONG (2)
2025-08-27;;;09:17:34.986;[176] keepalive
2025-08-27;2025-08-27;[75] PING;09:17:36.373;[178/75] PONG (2)
2025-08-27;2025-08-27;[76] PING;09:17:37.681;[179/76] PONG (2)
2025-08-27;2025-08-27;[77] PING;09:17:39.092;[181/77] PONG (2)
2025-08-27;;;09:17:39.988;[182] keepalive
2025-08-27;2025-08-27;[78] PING;09:17:40.745;[184/78] PONG (2)
