2025-08-27;2025-08-27;[1] PING;09:15:32.332;[0/1] PONG (1)
2025-08-27;;;09:15:34.946;[2] keepalive
2025-08-27;2025-08-27;[2] PING;09:15:35.041;[4/2] PONG (1)
2025-08-27;2025-08-27;[3] PING;09:15:35.663;[6/3] PONG (1)
2025-08-27;2025-08-27;[4] PING;09:15:36.205;[7/4] PONG (1)
2025-08-27;;;09:15:39.948;[8] keepalive
2025-08-27;2025-08-27;[6] PING;09:15:40.516;[11/6] PONG (1)
2025-08-27;2025-08-27;[7] PING;09:15:42.297;[12/7] PONG (1)
2025-08-27;2025-08-27;[8] PING;09:15:44.020;[15/8] PONG (1)
2025-08-27;;;09:15:44.950;[16] keepalive
2025-08-27;2025-08-27;[9] PING;09:15:46.653;[18/9] PONG (1)
2025-08-27;2025-08-27;[10] PING;09:15:48.360;[21/10] PONG (1)
2025-08-27;;;09:15:49.953;[22] keepalive
2025-08-27;2025-08-27;[11] PING;09:15:50.822;[24/11] PONG (1)
2025-08-27;2025-08-27;[12] PING;09:15:52.016;[27/12] PONG (1)
2025-08-27;2025-08-27;[13] PING;09:15:52.118;[28/13] PONG (1)
2025-08-27;2025-08-27;[14] PING;09:15:52.907;[29/14] PONG (1)
2025-08-27;;;09:15:54.954;[31] keepalive
2025-08-27;2025-08-27;[15] PING;09:15:55.502;[33/15] PONG (1)
2025-08-27;2025-08-27;[16] PING;09:15:57.572;[34/16] PONG (1)
2025-08-27;;;09:15:59.954;[38] keepalive
2025-08-27;09:15:38.558;[5] PING;09:16:00.080;(таймаут)
2025-08-27;2025-08-27;[18] PING;09:16:00.728;[40/18] PONG (1)
2025-08-27;2025-08-27;[19] PING;09:16:03.433;[42/19] PONG (1)
2025-08-27;;;09:16:04.956;[45] keepalive
2025-08-27;2025-08-27;[20] PING;09:16:05.439;[47/20] PONG (1)
2025-08-27;2025-08-27;[21] PING;09:16:07.959;[49/21] PONG (1)
2025-08-27;;;09:16:09.957;[51] keepalive
2025-08-27;2025-08-27;[22] PING;09:16:10.158;[53/22] PONG (1)
2025-08-27;2025-08-27;[23] PING;09:16:13.414;[55/23] PONG (1)
2025-08-27;2025-08-27;[24] PING;09:16:14.710;[57/24] PONG (1)
2025-08-27;;;09:16:14.959;[58] keepalive
2025-08-27;09:15:59.153;[17] PING;09:16:15.081;(таймаут)
2025-08-27;2025-08-27;[25] PING;09:16:17.496;[61/25] PONG (1)
2025-08-27;2025-08-27;[26] PING;09:16:18.984;[63/26] PONG (1)
2025-08-27;;;09:16:19.960;[64] keepalive
2025-08-27;2025-08-27;[27] PING;09:16:21.112;[67/27] PONG (1)
2025-08-27;2025-08-27;[28] PING;09:16:21.655;[68/28] PONG (1)
2025-08-27;2025-08-27;[29] PING;09:16:21.991;[69/29] PONG (1)
2025-08-27;2025-08-27;[30] PING;09:16:23.636;[72/30] PONG (1)
2025-08-27;2025-08-27;[31] PING;09:16:24.480;[73/31] PONG (1)
2025-08-27;;;09:16:24.962;[74] keepalive
2025-08-27;2025-08-27;[32] PING;09:16:25.677;[77/32] PONG (1)
